gene_id	gene_name	CBA_001	CBA_002	CBA_003	CBA_004	CBA_005	CBA_006	CBA_007	CBA_008	CBA_009	CBA_010
A1BG	A1BG	0	0	0	0	0	0	0	0	0	0
A1BG-AS1	A1BG-AS1	1	2	0	2	1	0	0	3	0	0
A1CF	A1CF	3	1	0	2	0	0	1	1	1	0
A2M	A2M	1	0	0	3	1	0	0	7	0	0
A2M-AS1	A2M-AS1	0	1	0	0	0	0	0	0	0	0
A2ML1	A2ML1	0	0	0	0	0	0	0	0	0	0
A2MP1	A2MP1	0	0	0	0	0	0	0	0	0	0
A3GALT2	A3GALT2	0	0	0	0	0	0	0	0	0	0
A4GALT	A4GALT	14	19	16	17	4	19	20	13	3	6
A4GNT	A4GNT	0	1	0	1	0	0	1	0	0	0
AA06	AA06	0	0	0	0	0	0	0	0	0	0
AAAS	AAAS	102	93	117	153	72	108	126	45	18	12
AACS	AACS	52	38	39	28	30	49	56	19	9	14
AACSP1	AACSP1	0	0	0	0	0	0	0	0	0	2
AADAC	AADAC	0	0	1	0	0	0	0	1	0	0
AADACL2	AADACL2	0	0	0	0	0	0	0	0	1	0
AADACL3	AADACL3	0	0	0	0	0	0	0	1	0	0
AADACL4	AADACL4	1	0	0	0	0	0	0	0	0	0
AADAT	AADAT	78	77	81	97	119	108	130	76	39	28
AAED1	AAED1	985	968.001	1159.001	950	1223	977	1240	692	116	176
AAGAB	AAGAB	673	494	626.999	675	773	592	962.999	533	84	71
AAK1	AAK1	237	214	322	291	315	228	309	181	137	178
AAMDC	AAMDC	396	305	397	550	495	283	647	445	177	235
AAMP	AAMP	155	169	180	191	143	150	184	105	11	44
AANAT	AANAT	0	0	0	0	0	0	0	1	0	0
AAR2	AAR2	275	226	298	395	197.999	303	326	207	48	86
AARD	AARD	0	0	1	0	0	0	1	0	0	0
AARS	AARS	126	81	137	130	92	107	134	79	19	25
AARS2	AARS2	25	13	48	45	16	24	21	26	5	21
AARSD1	AARSD1	259	192	301.827	444	373.307	309.694	400	271	31	40
AASDH	AASDH	131.999	98	124	119	123	119	167	129	42	31
AASDHPPT	AASDHPPT	2010	1683	2220	2359	2471	1940	2729	1916	435	388
AASS	AASS	118	136	123	189	136	84	124	189	29	69
AATF	AATF	290	190	331	276	194	312	373	111	39	44
AATK	AATK	0	0	0	1	0	2	1	3	0	0
