"","CBA_001","CBA_002","CBA_004","CBA_005","CBA_007","CBA_008"
"A1BG",0,0,0,0,0,0
"A1BG-AS1",1,2,2,1,0,3
"A1CF",3,1,2,0,1,1
"A2M",1,0,3,1,0,7
"A2M-AS1",0,1,0,0,0,0
"A2ML1",0,0,0,0,0,0
"A2MP1",0,0,0,0,0,0
"A3GALT2",0,0,0,0,0,0
"A4GALT",14,19,17,4,20,13
"A4GNT",0,1,1,0,1,0
"AA06",0,0,0,0,0,0
"AAAS",102,93,153,72,126,45
"AACS",52,38,28,30,56,19
"AACSP1",0,0,0,0,0,0
"AADAC",0,0,0,0,0,1
"AADACL2",0,0,0,0,0,0
"AADACL3",0,0,0,0,0,1
"AADACL4",1,0,0,0,0,0
"AADAT",78,77,97,119,130,76
"AAED1",985,968,950,1223,1240,692
"AAGAB",673,494,675,773,962,533
"AAK1",237,214,291,315,309,181
"AAMDC",396,305,550,495,647,445
"AAMP",155,169,191,143,184,105
"AANAT",0,0,0,0,0,1
"AAR2",275,226,395,197,326,207
"AARD",0,0,0,0,1,0
"AARS",126,81,130,92,134,79
"AARS2",25,13,45,16,21,26
"AARSD1",259,192,444,373,400,271
"AASDH",131,98,119,123,167,129
"AASDHPPT",2010,1683,2359,2471,2729,1916
"AASS",118,136,189,136,124,189
"AATF",290,190,276,194,373,111
"AATK",0,0,1,0,1,3
"AATK-AS1",0,0,0,0,0,0
"ABAT",0,0,0,3,0,1
"ABCA1",53,70,28,39,34,185
"ABCA10",4,0,5,1,1,8
"ABCA11P",78,69,72,98,78,57
"ABCA12",1,0,4,0,0,2
"ABCA13",84,57,217,82,182,521
"ABCA17P",2,4,9,3,6,3
"ABCA2",6,1,14,3,2,6
"ABCA3",14,13,19,16,27,19
"ABCA4",2,0,6,4,2,2
"ABCA5",154,117,210,166,152,242
"ABCA6",0,2,3,1,3,16
"ABCA7",1,2,8,1,1,5
"ABCA8",0,0,3,0,0,3
"ABCA9",0,1,4,1,0,0
"ABCB1",3,2,2,0,0,0
"ABCB10",235,171,248,211,238,167
"ABCB11",0,0,0,0,0,0
"ABCB4",0,0,0,0,0,2
"ABCB5",9,5,12,9,5,2
"ABCB6",44,17,75,45,43,35
"ABCB7",168,122,166,131,245,136
"ABCB8",22,21,38,12,25,21
"ABCB9",8,6,14,7,7,7
"ABCC1",74,37,67,66,76,52
"ABCC10",18,13,17,18,20,5
"ABCC11",0,0,0,1,0,0
